,study,design,r1,n1,r3,n3,r5,n5,r4,n4,r6,n6,r2,n2,duration,date
1,1,5vs4vs2,,,,,45,410,32,202,,,70,405,3.799999952,2006
2,2,5vs4vs3,,,302,6766,119,4096,154,3954,,,,,4,2002
3,3,6vs3,,,8,196,,,,,1,196,,,1,2003
4,4,5vs3,,,200,2826,138,2800,,,,,,,4.099999905,2005
5,5,4vs2,,,,,,,567,7072,,,799,7040,5.5,2005
6,6,5vs2,,,,,337,5183,,,,,380,5230,6.099999905,1999
7,7,6vs1,202,2721,,,,,,,163,2715,,,3.099999905,2003
8,8,5vs1,489,2646,,,449,2623,,,,,,,3,2006
9,9,3vs1,20,424,29,416,,,,,,,,,4.699999809,1991
10,10,4vs1,154,4870,,,,,177,4841,,,,,3.299999952,2005
11,11,3vs2,,,75,3272,,,,,,,86,3297,3.799999952,1987
12,12,5vs1,155,2883,,,102,2837,,,,,,,4.5,2001
13,13,4vs3,,,176,2511,,,136,2508,,,,,3,2000
14,14,4vs2,,,,,,,569,8098,,,665,8078,4,2003
15,15,6vs2,,,,,,,,,242,4020,320,3979,4.800000191,2002
16,16,3vs2vs1,34,2213,43,1081,,,,,,,37,1102,5.800000191,1992
17,17,4vs2,,,,,,,216,5095,,,251,5059,4.5,2000
18,18,5vs1,399,3472,,,335,3432,,,,,,,4.800000191,2004
19,19,6vs1,115,2175,,,,,,,93,2167,,,3.700000048,2003
20,20,3vs1,118,1578,140,1631,,,,,,,,,3,1998
21,21,5vs4vs2,,,,,93,1970,95,1965,,,97,1960,4,1999
22,22,6vs4,,,,,,,845,5074,690,5087,,,4.199999809,2004
